id,label,predicted_label,response_id,error
3769,POLITIK_PEMERINTAHAN,EKONOMI_BISNIS,chatcmpl-9367f21d344e41e6,
36770,EKONOMI_BISNIS,EKONOMI_BISNIS,chatcmpl-a210febf9a27380a,
32538,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-9844808121f89287,
9979,BENCANA_LINGKUNGAN,BENCANA_LINGKUNGAN,chatcmpl-bbeb7a3cd14ea86b,
29714,TEKNOLOGI_DIGITAL,TEKNOLOGI_DIGITAL,chatcmpl-84da2bff3e43b2de,
4765,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-920cff950a782f49,
52849,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-9b6a5fcbaa1150d3,
24660,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-b6d1097516bf0949,
52720,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-8223b524952a74f5,
16192,BENCANA_LINGKUNGAN,BENCANA_LINGKUNGAN,chatcmpl-96a1a631d0654d0b,
58657,OLAHRAGA,OLAHRAGA,chatcmpl-bd02f55934cd9535,
23291,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-9372b61403eecef5,
61901,EKONOMI_BISNIS,EKONOMI_BISNIS,chatcmpl-aa90f133051e9074,
50796,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-a5cdd392581580e3,
37999,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-8dc5b363af8f9089,
22833,EKONOMI_BISNIS,EKONOMI_BISNIS,chatcmpl-98cb61f74eb1e581,
37597,POLITIK_PEMERINTAHAN,EKONOMI_BISNIS,chatcmpl-99fa8b4b0d526bee,
61426,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-997ecad78109d056,
16546,EKONOMI_BISNIS,EKONOMI_BISNIS,chatcmpl-8e7c8ba53df76814,
48278,OLAHRAGA,POLITIK_PEMERINTAHAN,chatcmpl-b35694be659e44bc,
26214,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-af73abda735bc688,
24987,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-9546a55ea76c69cf,
33039,EKONOMI_BISNIS,EKONOMI_BISNIS,chatcmpl-b27307a578b49fc4,
19294,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-b242f73e86009fdc,
56363,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-9de719d556e38a9b,
21544,EKONOMI_BISNIS,EKONOMI_BISNIS,chatcmpl-98134a1306205387,
30899,POLITIK_PEMERINTAHAN,EKONOMI_BISNIS,chatcmpl-b2b263da06d02287,
53150,POLITIK_PEMERINTAHAN,POLITIK_PEMERINTAHAN,chatcmpl-b86469ad40bfbb01,
13174,HUKUM_KRIMINAL,BENCANA_LINGKUNGAN,chatcmpl-a62560ccd9229b56,
9562,HUKUM_KRIMINAL,HUKUM_KRIMINAL,chatcmpl-a66d145ec4aa812e,
